📺 CCTV,#genre#
延边卫视,http://192.168.2.1:4000/udp/239.253.224.121:8000
中国交通,http://192.168.2.1:4000/udp/239.253.224.177:8000
CETV1,http://192.168.2.1:4000/udp/239.253.224.110:8000
CETV2,http://192.168.2.1:4000/udp/239.253.224.107:8000
CETV4,http://192.168.2.1:4000/udp/239.253.224.116:8000
CETV4,http://192.168.2.1:4000/udp/239.253.224.108:8000

📺  专业,#genre#
梨园频道,http://192.168.2.1:4000/udp/239.253.224.139:8000
武术世界,http://192.168.2.1:4000/udp/239.253.224.140:8000
文物宝库,http://192.168.2.1:4000/udp/239.253.224.141:8000
精彩影视,http://192.168.2.1:4000/udp/239.253.224.142:8000
乐游,http://192.168.2.1:4000/udp/239.253.224.97:8000
都市剧场,http://192.168.2.1:4000/udp/239.253.224.178:8000
纪实人文,http://192.168.2.1:4000/udp/239.253.224.120:8000
金鹰纪实,http://192.168.2.1:4000/udp/239.253.224.103:8000
北京纪实科教,http://192.168.2.1:4000/udp/239.253.224.165:8000
都市剧场,http://192.168.2.1:4000/udp/239.253.224.98:8000
生活时尚,http://192.168.2.1:4000/udp/239.253.224.99:8000
东方财经,http://192.168.2.1:4000/udp/239.253.224.94:8000
游戏风云,http://192.168.2.1:4000/udp/239.253.224.95:8000
法治天地,http://192.168.2.1:4000/udp/239.253.224.96:8000
魅力足球,http://192.168.2.1:4000/udp/239.253.224.100:8000
金色学堂,http://192.168.2.1:4000/udp/239.253.224.101:8000
动漫秀场,http://192.168.2.1:4000/udp/239.253.224.115:8000
金鹰卡通,http://192.168.2.1:4000/udp/239.253.224.117:8000
四海钓鱼,http://192.168.2.1:4000/udp/239.253.224.118:8000
茶频道,http://192.168.2.1:4000/udp/239.253.224.143:8000
快乐垂钓,http://192.168.2.1:4000/udp/239.253.224.144:8000
先锋乒羽,http://192.168.2.1:4000/udp/239.253.224.145:8000
书画频道,http://192.168.2.1:4000/udp/239.253.224.146:8000
财富天下,http://192.168.2.1:4000/udp/239.253.224.147:8000
家庭理财,http://192.168.2.1:4000/udp/239.253.224.148:8000
新动漫,http://192.168.2.1:4000/udp/239.253.224.149:8000
家有购物,http://192.168.2.1:4000/udp/239.253.224.150:8000
先锋乒羽,http://192.168.2.1:4000/udp/239.253.224.155:8000
新动漫,http://192.168.2.1:4000/udp/239.253.224.157:8000
汽摩,http://192.168.2.1:4000/udp/239.253.224.161:8000
发现之旅,http://192.168.2.1:4000/udp/239.253.224.162:8000
中学生,http://192.168.2.1:4000/udp/239.253.224.163:8000
老故事,http://192.168.2.1:4000/udp/239.253.224.164:8000
4K测试,http://192.168.2.1:4000/udp/239.253.224.102:8000
山东生活,http://192.168.2.1:4000/udp/239.253.224.151:8000
山东体育,http://192.168.2.1:4000/udp/239.253.224.81:8000
山东体育+,http://192.168.2.1:4000/udp/239.253.224.158:8000
山东综艺,http://192.168.2.1:4000/udp/239.253.224.159:8000
山东文旅,http://192.168.2.1:4000/udp/239.253.224.160:8000
山东齐鲁,http://192.168.2.1:4000/udp/239.253.224.114:8000
IPTV5,http://192.168.2.1:4000/udp/239.253.224.109:8000
IPTV3,http://192.168.2.1:4000/udp/239.253.224.124:8000
IPTV电视剧,http://192.168.2.1:4000/udp/239.253.224.125:8000
IPTV电影,http://192.168.2.1:4000/udp/239.253.224.126:8000
IPTV电影2,http://192.168.2.1:4000/udp/239.253.224.127:8000
IPTV电影3,http://192.168.2.1:4000/udp/239.253.224.128:8000
IPTV综艺,http://192.168.2.1:4000/udp/239.253.224.129:8000
IPTV电影4,http://192.168.2.1:4000/udp/239.253.224.130:8000
IPTV体育,http://192.168.2.1:4000/udp/239.253.224.131:8000
IPTV电视剧2,http://192.168.2.1:4000/udp/239.253.224.132:8000
IPTV电视剧3,http://192.168.2.1:4000/udp/239.253.224.135:8000
IPTV综艺2,http://192.168.2.1:4000/udp/239.253.224.136:8000
IPTV科教,http://192.168.2.1:4000/udp/239.253.224.137:8000
IPTV法制,http://192.168.2.1:4000/udp/239.253.224.138:8000
财富天下,http://192.168.2.1:4000/udp/239.253.224.230:8000
IPTV 201,http://192.168.2.1:4000/udp/239.253.224.201:8000
IPTV 202,http://192.168.2.1:4000/udp/239.253.224.202:8000
IPTV 203,http://192.168.2.1:4000/udp/239.253.224.203:8000
IPTV 204,http://192.168.2.1:4000/udp/239.253.224.204:8000
IPTV 205,http://192.168.2.1:4000/udp/239.253.224.205:8000
IPTV 207,http://192.168.2.1:4000/udp/239.253.224.207:8000
IPTV 208,http://192.168.2.1:4000/udp/239.253.224.208:8000
IPTV 209,http://192.168.2.1:4000/udp/239.253.224.209:8000
IPTV 210,http://192.168.2.1:4000/udp/239.253.224.210:8000
IPTV 211,http://192.168.2.1:4000/udp/239.253.224.211:8000
IPTV 212,http://192.168.2.1:4000/udp/239.253.224.212:8000
IPTV 213,http://192.168.2.1:4000/udp/239.253.224.213:8000
IPTV 214,http://192.168.2.1:4000/udp/239.253.224.214:8000
IPTV 215,http://192.168.2.1:4000/udp/239.253.224.215:8000
IPTV 216,http://192.168.2.1:4000/udp/239.253.224.216:8000
IPTV 217,http://192.168.2.1:4000/udp/239.253.224.217:8000
IPTV 218,http://192.168.2.1:4000/udp/239.253.224.218:8000
IPTV 219,http://192.168.2.1:4000/udp/239.253.224.219:8000
IPTV 220,http://192.168.2.1:4000/udp/239.253.224.220:8000
IPTV 221,http://192.168.2.1:4000/udp/239.253.224.221:8000
IPTV 222,http://192.168.2.1:4000/udp/239.253.224.222:8000
IPTV 223,http://192.168.2.1:4000/udp/239.253.224.223:8000
IPTV 224,http://192.168.2.1:4000/udp/239.253.224.224:8000
IPTV 225,http://192.168.2.1:4000/udp/239.253.224.225:8000
IPTV 226,http://192.168.2.1:4000/udp/239.253.224.226:8000
IPTV 227,http://192.168.2.1:4000/udp/239.253.224.227:8000
IPTV 228,http://192.168.2.1:4000/udp/239.253.224.228:8000
IPTV 229,http://192.168.2.1:4000/udp/239.253.224.229:8000
CGTN 西语,http://192.168.2.1:4000/udp/239.253.224.182:8000
CGTN 法语,http://192.168.2.1:4000/udp/239.253.224.183:8000
CGTN 中东,http://192.168.2.1:4000/udp/239.253.224.184:8000
CGTN 俄语,http://192.168.2.1:4000/udp/239.253.224.185:8000
CGTN 纪录,http://192.168.2.1:4000/udp/239.253.224.188:8000
CGTN,http://192.168.2.1:4000/udp/239.253.224.189:8000
CCTV-1,http://192.168.2.1:4000/udp/239.253.224.1:8000
CCTV-2,http://192.168.2.1:4000/udp/239.253.224.3:8000
CCTV-3,http://192.168.2.1:4000/udp/239.253.224.4:8000
CCTV-4,http://192.168.2.1:4000/udp/239.253.224.5:8000
CCTV-5,http://192.168.2.1:4000/udp/239.253.224.6:8000
CCTV-6,http://192.168.2.1:4000/udp/239.253.224.7:8000
CCTV-7,http://192.168.2.1:4000/udp/239.253.224.8:8000
CCTV-8,http://192.168.2.1:4000/udp/239.253.224.9:8000
CCTV-9,http://192.168.2.1:4000/udp/239.253.224.10:8000
CCTV-10,http://192.168.2.1:4000/udp/239.253.224.11:8000
CCTV-11,http://192.168.2.1:4000/udp/239.253.224.12:8000
CCTV-12,http://192.168.2.1:4000/udp/239.253.224.13:8000
CCTV-13,http://192.168.2.1:4000/udp/239.253.224.14:8000
CCTV-14,http://192.168.2.1:4000/udp/239.253.224.15:8000
CCTV-15,http://192.168.2.1:4000/udp/239.253.224.16:8000
山东文旅,http://192.168.2.1:4000/udp/239.253.224.19:8000
山东生活,http://192.168.2.1:4000/udp/239.253.224.20:8000
山东综艺,http://192.168.2.1:4000/udp/239.253.224.21:8000
山东体育,http://192.168.2.1:4000/udp/239.253.224.22:8000
山东新闻,http://192.168.2.1:4000/udp/239.253.224.23:8000
山东农科,http://192.168.2.1:4000/udp/239.253.224.24:8000
山东少儿,http://192.168.2.1:4000/udp/239.253.224.25:8000
山东卫视,http://192.168.2.1:4000/udp/239.253.224.2:8000
湖南卫视,http://192.168.2.1:4000/udp/239.253.224.27:8000
江苏卫视,http://192.168.2.1:4000/udp/239.253.224.28:8000
浙江卫视,http://192.168.2.1:4000/udp/239.253.224.29:8000
安徽卫视,http://192.168.2.1:4000/udp/239.253.224.30:8000
北京卫视,http://192.168.2.1:4000/udp/239.253.224.31:8000
东方卫视,http://192.168.2.1:4000/udp/239.253.224.32:8000
深圳卫视,http://192.168.2.1:4000/udp/239.253.224.33:8000
天津卫视,http://192.168.2.1:4000/udp/239.253.224.34:8000
海南卫视,http://192.168.2.1:4000/udp/239.253.224.35:8000
辽宁卫视,http://192.168.2.1:4000/udp/239.253.224.36:8000
黑龙江卫视,http://192.168.2.1:4000/udp/239.253.224.37:8000
重庆卫视,http://192.168.2.1:4000/udp/239.253.224.38:8000
广东卫视,http://192.168.2.1:4000/udp/239.253.224.39:8000
东南卫视,http://192.168.2.1:4000/udp/239.253.224.41:8000
河北卫视,http://192.168.2.1:4000/udp/239.253.224.43:8000
河南卫视,http://192.168.2.1:4000/udp/239.253.224.44:8000
湖北卫视,http://192.168.2.1:4000/udp/239.253.224.45:8000
吉林卫视,http://192.168.2.1:4000/udp/239.253.224.46:8000
江西卫视,http://192.168.2.1:4000/udp/239.253.224.47:8000
山西卫视,http://192.168.2.1:4000/udp/239.253.224.48:8000
陕西卫视,http://192.168.2.1:4000/udp/239.253.224.49:8000
四川卫视,http://192.168.2.1:4000/udp/239.253.224.50:8000
贵州卫视,http://192.168.2.1:4000/udp/239.253.224.51:8000
甘肃卫视,http://192.168.2.1:4000/udp/239.253.224.52:8000
宁夏卫视,http://192.168.2.1:4000/udp/239.253.224.53:8000
青海卫视,http://192.168.2.1:4000/udp/239.253.224.54:8000
CETV1,http://192.168.2.1:4000/udp/239.253.224.55:8000
西藏卫视,http://192.168.2.1:4000/udp/239.253.224.56:8000
兵团卫视,http://192.168.2.1:4000/udp/239.253.224.57:8000
内蒙古卫视,http://192.168.2.1:4000/udp/239.253.224.58:8000
山东教育,http://192.168.2.1:4000/udp/239.253.224.59:8000
新疆卫视,http://192.168.2.1:4000/udp/239.253.224.60:8000
哈哈炫动,http://192.168.2.1:4000/udp/239.253.224.63:8000
优漫卡通,http://192.168.2.1:4000/udp/239.253.224.64:8000
嘉佳卡通,http://192.168.2.1:4000/udp/239.253.224.65:8000
北京卡酷,http://192.168.2.1:4000/udp/239.253.224.66:8000
海洋频道,http://192.168.2.1:4000/udp/239.253.224.67:8000
大湾区卫视,http://192.168.2.1:4000/udp/239.253.224.69:8000
农林卫视,http://192.168.2.1:4000/udp/239.253.224.70:8000
环球旅游,http://192.168.2.1:4000/udp/239.253.224.71:8000
优优宝贝,http://192.168.2.1:4000/udp/239.253.224.72:8000
车迷频道,http://192.168.2.1:4000/udp/239.253.224.73:8000
甘肃卫视,http://192.168.2.1:4000/udp/239.253.224.74:8000
生态环境,http://192.168.2.1:4000/udp/239.253.224.75:8000
中华特产,http://192.168.2.1:4000/udp/239.253.224.76:8000

