
📺 CCTV,#genre#
📺 卫视,#genre#
山东卫视,http://192.168.123.1:4000/udp/239.253.224.78:8000
江苏卫视,http://192.168.123.1:4000/udp/239.253.224.83:8000
浙江卫视,http://192.168.123.1:4000/udp/239.253.224.84:8000
东方卫视,http://192.168.123.1:4000/udp/239.253.224.86:8000
北京卫视,http://192.168.123.1:4000/udp/239.253.224.85:8000
北京纪实科教,http://192.168.123.1:4000/udp/239.253.224.165:8000
安徽卫视,http://192.168.123.1:4000/udp/239.253.224.87:8000
湖南卫视,http://192.168.123.1:4000/udp/239.253.224.82:8000
金鹰纪实,http://192.168.123.1:4000/udp/239.253.224.103:8000
金鹰卡通,http://192.168.123.1:4000/udp/239.253.224.117:8000
湖北卫视,http://192.168.123.1:4000/udp/239.253.224.88:8000
天津卫视,http://192.168.123.1:4000/udp/239.253.224.89:8000
广东卫视,http://192.168.123.1:4000/udp/239.253.224.90:8000
深圳卫视,http://192.168.123.1:4000/udp/239.253.224.91:8000
黑龙江卫视,http://192.168.123.1:4000/udp/239.253.224.93:8000
辽宁卫视,http://192.168.123.1:4000/udp/239.253.224.92:8000
吉林卫视,http://192.168.123.1:4000/udp/239.253.224.173:8000
东南卫视,http://192.168.123.1:4000/udp/239.253.224.105:8000
河北卫视,http://192.168.123.1:4000/udp/239.253.224.112:8000
河南卫视,http://192.168.123.1:4000/udp/239.253.224.190:8000
梨园频道,http://192.168.123.1:4000/udp/239.253.224.139:8000
武术世界,http://192.168.123.1:4000/udp/239.253.224.140:8000
文物宝库,http://192.168.123.1:4000/udp/239.253.224.141:8000
云南卫视,http://192.168.123.1:4000/udp/239.253.224.196:8000
贵州卫视,http://192.168.123.1:4000/udp/239.253.224.113:8000
青海卫视,http://192.168.123.1:4000/udp/239.253.224.195:8000
重庆卫视,http://192.168.123.1:4000/udp/239.253.224.38:8000
重庆汽摩,http://192.168.123.1:4000/udp/239.253.224.161:8000
江西卫视,http://192.168.123.1:4000/udp/239.253.224.47:8000
广西卫视,http://192.168.123.1:4000/udp/239.253.224.197:8000
海南卫视,http://192.168.123.1:4000/udp/239.253.224.179:8000
四川卫视,http://192.168.123.1:4000/udp/239.253.224.180:8000
甘肃卫视,http://192.168.123.1:4000/udp/239.253.224.74:8000
中国交通,http://192.168.123.1:4000/udp/239.253.224.177:8000
CETV1,http://192.168.123.1:4000/udp/239.253.224.110:8000
CETV2,http://192.168.123.1:4000/udp/239.253.224.107:8000
CETV4,http://192.168.123.1:4000/udp/239.253.224.116:8000
CETV4,http://192.168.123.1:4000/udp/239.253.224.108:8000
山东卫视,http://192.168.123.1:4000/udp/239.253.224.2:8000
湖南卫视,http://192.168.123.1:4000/udp/239.253.224.27:8000
江苏卫视,http://192.168.123.1:4000/udp/239.253.224.28:8000
浙江卫视,http://192.168.123.1:4000/udp/239.253.224.29:8000
安徽卫视,http://192.168.123.1:4000/udp/239.253.224.30:8000
北京卫视,http://192.168.123.1:4000/udp/239.253.224.31:8000
东方卫视,http://192.168.123.1:4000/udp/239.253.224.32:8000
深圳卫视,http://192.168.123.1:4000/udp/239.253.224.33:8000
天津卫视,http://192.168.123.1:4000/udp/239.253.224.34:8000
海南卫视,http://192.168.123.1:4000/udp/239.253.224.35:8000
厦门卫视,http://192.168.123.1:4000/udp/239.253.224.106:8000
辽宁卫视,http://192.168.123.1:4000/udp/239.253.224.36:8000
黑龙江卫视,http://192.168.123.1:4000/udp/239.253.224.37:8000
广东卫视,http://192.168.123.1:4000/udp/239.253.224.39:8000
东南卫视,http://192.168.123.1:4000/udp/239.253.224.41:8000
河北卫视,http://192.168.123.1:4000/udp/239.253.224.43:8000
河南卫视,http://192.168.123.1:4000/udp/239.253.224.44:8000
湖北卫视,http://192.168.123.1:4000/udp/239.253.224.45:8000
吉林卫视,http://192.168.123.1:4000/udp/239.253.224.46:8000
山西卫视,http://192.168.123.1:4000/udp/239.253.224.48:8000
陕西卫视,http://192.168.123.1:4000/udp/239.253.224.49:8000
四川卫视,http://192.168.123.1:4000/udp/239.253.224.50:8000
贵州卫视,http://192.168.123.1:4000/udp/239.253.224.51:8000
甘肃卫视,http://192.168.123.1:4000/udp/239.253.224.52:8000
宁夏卫视,http://192.168.123.1:4000/udp/239.253.224.53:8000
青海卫视,http://192.168.123.1:4000/udp/239.253.224.54:8000
CETV1,http://192.168.123.1:4000/udp/239.253.224.55:8000
三沙卫视,http://192.168.123.1:4000/udp/239.253.224.171:8000
延边卫视,http://192.168.123.1:4000/udp/239.253.224.121:8000
内蒙古卫视,http://192.168.123.1:4000/udp/239.253.224.58:8000
西藏卫视,http://192.168.123.1:4000/udp/239.253.224.56:8000
新疆卫视,http://192.168.123.1:4000/udp/239.253.224.60:8000
兵团卫视,http://192.168.123.1:4000/udp/239.253.224.57:8000
农林卫视,http://192.168.123.1:4000/udp/239.253.224.70:8000
大湾区卫视,http://192.168.123.1:4000/udp/239.253.224.69:8000
北京少儿,http://192.168.123.1:4000/udp/239.253.224.66:8000
哈哈炫动,http://192.168.123.1:4000/udp/239.253.224.63:8000
优漫卡通,http://192.168.123.1:4000/udp/239.253.224.64:8000
嘉佳卡通,http://192.168.123.1:4000/udp/239.253.224.65:8000


🌏  港台,#genre#
凤凰资讯,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002187/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

凤凰卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8

凤凰卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8


凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com

凤凰卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
爱自然 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
东森超视,rtmp://f13h.mine.nu/sat/tv331
MOMO综合,rtmp://f13h.mine.nu/sat/tv761


📺  电影,#genre#

华数4K影视,http://zteres.sn.chinamobile.com:6060/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId=3

CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8

爱上4K,http://192.168.123.1:4000/udp/239.253.224.102:8000
斗鱼4K,http://epg.112114.xyz/douyu/9249162
林正英,http://epg.112114.xyz/douyu/218859
刘德华,http://epg.112114.xyz/douyu/2516864
欢笑剧场4K,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002156/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
求索纪录,http://zteres.sn.chinamobile.com:6060/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
求索科学,http://zteres.sn.chinamobile.com:6060/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
