🌐  CCTV,#genre#
日照科教,http://10.26.0.123:4000/udp/239.253.224.253:8000
日照公共,http://10.26.0.123:4000/udp/239.253.224.250:8000
岚山电视台,http://10.26.0.123:4000/udp/239.253.224.252:8000
莒县电视台,http://10.26.0.123:4000/udp/239.253.224.251:8000

🌐  山东,#genre#
山东体育,http://10.26.0.23:4000/udp/239.253.254.22:8000
山东齐鲁,http://10.26.0.23:4000/udp/239.253.254.114:8000
山东生活,http://10.26.0.23:4000/udp/239.253.254.151:8000
山东综艺,http://10.26.0.23:4000/udp/239.253.254.159:8000
山东文旅,http://10.26.0.23:4000/udp/239.253.254.160:8000
山东新闻,http://10.26.0.23:4000/udp/239.253.254.23:8000
山东农科,http://10.26.0.23:4000/udp/239.253.254.24:8000
海洋频道,http://10.26.0.23:4000/udp/239.253.254.67:8000

🌐  专业,#genre#
求索纪录,http://10.26.0.23:4000/udp/239.253.254.231:8000
梨园频道,http://10.26.0.23:4000/udp/239.253.254.139:8000
武术世界,http://10.26.0.23:4000/udp/239.253.254.140:8000
文物宝库,http://10.26.0.23:4000/udp/239.253.254.141:8000
乐游,http://10.26.0.23:4000/udp/239.253.254.97:8000
生活时尚,http://10.26.0.23:4000/udp/239.253.254.99:8000
精彩影视,http://10.26.0.23:4000/udp/239.253.254.142:8000
都市剧场,http://10.26.0.23:4000/udp/239.253.254.98:8000
都市剧场,http://10.26.0.23:4000/udp/239.253.254.178:8000
法治天地,http://10.26.0.23:4000/udp/239.253.254.96:8000
金色学堂,http://10.26.0.23:4000/udp/239.253.254.101:8000
东方财经,http://10.26.0.23:4000/udp/239.253.254.94:8000
四海钓鱼,http://10.26.0.23:4000/udp/239.253.254.118:8000
生态环境,http://10.26.0.23:4000/udp/239.253.254.119:8000
中华特产,http://10.26.0.23:4000/udp/239.253.254.76:8000
汽摩频道,http://10.26.0.23:4000/udp/239.253.254.161:8000
财富天下,http://10.26.0.23:4000/udp/239.253.254.230:8000
先锋乒羽,http://10.26.0.23:4000/udp/239.253.254.155:8000
茶频道,http://10.26.0.23:4000/udp/239.253.254.143:8000
快乐垂钓,http://10.26.0.23:4000/udp/239.253.254.144:8000
发现之旅,http://10.26.0.23:4000/udp/239.253.254.162:8000
老故事,http://10.26.0.23:4000/udp/239.253.254.164:8000
游戏风云,http://10.26.0.23:4000/udp/239.253.254.95:8000
先锋乒羽,http://10.26.0.23:4000/udp/239.253.254.145:8000
书画频道,http://10.26.0.23:4000/udp/239.253.254.146:8000
财富天下,http://10.26.0.23:4000/udp/239.253.254.147:8000
环球旅游,http://10.26.0.23:4000/udp/239.253.254.71:8000
