📺 山东电信单播,#genre#
空,http://192.168.123.1:4000/udp/239.21.1.223:5002
济宁兖州新闻 HD,http://192.168.123.1:4000/udp/239.21.1.224:5002
济宁曲阜新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.225:5002
滨州沾化综合,http://192.168.123.1:4000/udp/239.21.1.226:5002
威海荣成综合 HD,http://192.168.123.1:4000/udp/239.21.1.227:5002
青岛平度新闻综合,http://192.168.123.1:4000/udp/239.21.1.228:5002
烟台栖霞综合,http://192.168.123.1:4000/udp/239.21.1.229:5002
德州齐河新闻 HD,http://192.168.123.1:4000/udp/239.21.1.230:5002
潍坊青州文化旅游 HD,http://192.168.123.1:4000/udp/239.21.1.231:5002
潍坊青州综合 HD,http://192.168.123.1:4000/udp/239.21.1.232:5002
重庆卫视 HD,http://192.168.123.1:4000/udp/239.21.1.233:5002
兵团卫视,http://192.168.123.1:4000/udp/239.21.1.234:5002
农林卫视,http://192.168.123.1:4000/udp/239.21.1.235:5002
日照莒县TV-1,http://192.168.123.1:4000/udp/239.21.1.236:5002
临沂兰陵综合 HD,http://192.168.123.1:4000/udp/239.21.1.237:5002
滨州好生新闻频道 HD,http://192.168.123.1:4000/udp/239.21.1.238:5002
德州武城新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.239:5002
德州武城综艺影视 HD,http://192.168.123.1:4000/udp/239.21.1.240:5002
德州禹城综合 HD,http://192.168.123.1:4000/udp/239.21.1.241:5002
德州禹城综艺 HD,http://192.168.123.1:4000/udp/239.21.1.242:5002
德州平原新闻 HD,http://192.168.123.1:4000/udp/239.21.1.243:5002
菏泽定陶TV-1 HD,http://192.168.123.1:4000/udp/239.21.1.244:5002
潍坊昌乐新闻综合 HD,http://192.168.123.1:4000/udp/239.21.1.245:5002
菏泽东明TV-1,http://192.168.123.1:4000/udp/239.21.1.246:5002
青岛莱西综合 HD,http://192.168.123.1:4000/udp/239.21.1.247:5002
泰安新泰乡村 HD,http://192.168.123.1:4000/udp/239.21.1.248:5002
日照五莲新闻综合,http://192.168.123.1:4000/udp/239.21.1.249:5002
聊城冠县综合,http://192.168.123.1:4000/udp/239.21.1.250:5002
菏泽郓城新闻 HD,http://192.168.123.1:4000/udp/239.21.1.251:5002
滨州阳信新闻综合,http://192.168.123.1:4000/udp/239.21.1.252:5002
聊城综合,http://192.168.123.1:4000/udp/239.21.1.253:5002
聊城公共,http://192.168.123.1:4000/udp/239.21.1.254:5002
CCTV13,http://192.168.123.1:4000/udp/239.21.2.1:5002
CCTV11 HD,http://192.168.123.1:4000/udp/239.21.2.2:5002
CCTV13 HD,http://192.168.123.1:4000/udp/239.21.2.3:5002
CCTV15 HD,http://192.168.123.1:4000/udp/239.21.2.4:5002
嘉佳卡通,http://192.168.123.1:4000/udp/239.21.2.5:5002
厦门卫视,http://192.168.123.1:4000/udp/239.21.2.6:5002
CETV1 HD,http://192.168.123.1:4000/udp/239.21.2.7:5002
CETV2,http://192.168.123.1:4000/udp/239.21.2.8:5002
三沙卫视,http://192.168.123.1:4000/udp/239.21.2.9:5002
烟台牟平新闻,http://192.168.123.1:4000/udp/239.21.2.10:5002
烟台牟平生活,http://192.168.123.1:4000/udp/239.21.2.11:5002
济宁梁山新闻综合 HD,http://192.168.123.1:4000/udp/239.21.2.12:5002
潍坊安丘新闻综合 HD,http://192.168.123.1:4000/udp/239.21.2.13:5002
海南卫视 HD,http://192.168.123.1:4000/udp/239.21.2.14:5002
四川卫视 HD,http://192.168.123.1:4000/udp/239.21.2.15:5002
空,http://192.168.123.1:4000/udp/239.21.2.16:5002
空,http://192.168.123.1:4000/udp/239.21.2.17:5002
菏泽HZTV-2,http://192.168.123.1:4000/udp/239.21.2.18:5002
济宁综合 HD,http://192.168.123.1:4000/udp/239.21.2.19:5002
济宁公共,http://192.168.123.1:4000/udp/239.21.2.20:5002
菏泽单县综合 HD,http://192.168.123.1:4000/udp/239.21.2.21:5002
甘肃卫视 HD,http://192.168.123.1:4000/udp/239.21.2.22:5002
临沂蒙阴TV-1,http://192.168.123.1:4000/udp/239.21.2.23:5002
德州陵城新闻 HD,http://192.168.123.1:4000/udp/239.21.2.24:5002
空,http://192.168.123.1:4000/udp/239.21.2.25:5002
空,http://192.168.123.1:4000/udp/239.21.2.26:5002
潍坊昌邑新闻综合 HD,http://192.168.123.1:4000/udp/239.21.2.27:5002
CCTV4-中文国际欧洲 HD,http://192.168.123.1:4000/udp/239.21.2.28:5002
CCTV4-中文国际北美 HD,http://192.168.123.1:4000/udp/239.21.2.29:5002
CGTN-英语,http://192.168.123.1:4000/udp/239.21.2.30:5002
CGTN-英文纪录,http://192.168.123.1:4000/udp/239.21.2.31:5002
CGTN-西班牙语,http://192.168.123.1:4000/udp/239.21.2.32:5002
CGTN-法语,http://192.168.123.1:4000/udp/239.21.2.33:5002
CGTN-阿拉伯语,http://192.168.123.1:4000/udp/239.21.2.34:5002
CGTN-俄语,http://192.168.123.1:4000/udp/239.21.2.35:5002
广播,http://192.168.123.1:4000/udp/239.21.2.36:5002
河南卫视 HD,http://192.168.123.1:4000/udp/239.21.2.37:5002
四海钓鱼,http://192.168.123.1:4000/udp/239.21.2.38:5002
车迷（试看）,http://192.168.123.1:4000/udp/239.21.2.39:5002
环球旅游（试看）,http://192.168.123.1:4000/udp/239.21.2.40:5002
优优宝贝（试看）,http://192.168.123.1:4000/udp/239.21.2.41:5002
生态环境（试看）,http://192.168.123.1:4000/udp/239.21.2.42:5002
中华特产（试看）,http://192.168.123.1:4000/udp/239.21.2.43:5002
体育赛事 HD（试看）,http://192.168.123.1:4000/udp/239.21.2.44:5002
CCTV3 HD（试看）,http://192.168.123.1:4000/udp/239.21.2.45:5002
CCTV5 HD（试看）,http://192.168.123.1:4000/udp/239.21.2.46:5002
CCTV6 HD（试看）,http://192.168.123.1:4000/udp/239.21.2.47:5002
CCTV8 HD（试看）,http://192.168.123.1:4000/udp/239.21.2.48:5002
吉林卫视 HD,http://192.168.123.1:4000/udp/239.21.2.49:5002
德州宁津新闻综合 HD,http://192.168.123.1:4000/udp/239.21.2.50:5002
